data_source,sparsity_mean,sparsity_sds
dataset_1,0.0905426356589147,0.05581209
dataset_2,0.0744186046511627,0.0738031
sorscher,0.0595348837209302,0.05085457
banino,0.2387596899224806,0.21023488
low_pass,0.3336434108527132,0.07131434
our_baseline,0.4403999999999999,0.25784733855520015
