data_source,grid_score_mean,grid_score_sds
dataset_1,1.3743093996955174,0.09117203
dataset_2,1.307861142940142,0.17215875
sorscher,1.4054570200495995,0.08354854
banino,0.944472238809182,0.24558395
low_pass,0.7991166771567979,0.22783712
our_baseline,1.4082459268245993,0.13283073581394608
